#Code;English;French;German;Spanish;Russian;x
vwi_stone_marker;Stone Marker;;;;;x
vwi_stone_marker_desc;A simple standing stone, marking the sacred ground and gathering place for the clans rituals. Instills unity and a sense of belonging among the nomads.;;;;;x
vwi_wicker_idol;Wicker Idol;;;;;x
vwi_wicker_idol_desc;A woven effigy raised by the clan, the idol is venerated as a channel for ancestral spirits. The presence of the idol strengthens communal bonds and inspires devotion.;;;;;x
vwi_ancestors_patch;Ancestors Patch;;;;;x
vwi_ancestors_patch_desc;A cleared space adorned with ancestral relics, providing a focal point for seasonal ceremonies. The patch increases the unity and religious sentiment of the tribe.;;;;;x
vwi_spirit_stand;Spirit Stand;;;;;x
vwi_spirit_stand_desc;A wooden shrine covered with vibrant cloths and ritual offerings. The Spirit Stand serves as the heart of the clans spiritual life, drawing reverence and bolstering unity.;;;;;x
vwi_priests_shelter;Priests Shelter;;;;;x
vwi_priests_shelter_desc;A sturdy tent or hut for the clans spiritual leader, appointed to maintain sacred rites and guide the faithful. Provides a significant boost to religious cohesion and morale.;;;;;x
vwi_sacred_pavilion;Sacred Pavilion;;;;;x
vwi_sacred_pavilion_desc;A large, decorated tent or wooden hall where the clan gathers for major festivals and ancestor worship. The structure inspires awe and loyalty, acting as a beacon of spiritual unity.;;;;;x
vwi_diviners_room;Diviners Room;;;;;x
vwi_diviners_room_desc;A specialized chamber where soothsayers interpret omens and guide the tribes fate. Deepens the clans spiritual connection and augments the influence of religious leaders.;;;;;x
vwi_blessed_hall;Blessed Hall;;;;;x
vwi_blessed_hall_desc;A large wooden or stone hall, richly decorated and sanctified for sacred gatherings and rituals. The hall is a source of immense prestige and spiritual authority for the clan.;;;;;x
vwi_sanctuary_circle;Sanctuary Circle;;;;;x
vwi_sanctuary_circle_desc;A complex of stone and wooden circles, sanctified and protected, used for the most important clan ceremonies. The Sanctuary Circle cements the tribes identity and faith.;;;;;x
vwi_dravidian_ritual_pavilion;Dravidian Ritual Pavilion;;;;;x
vwi_dravidian_ritual_pavilion_desc;A grand, semi-permanent structure combining wood, stone, and ornate pillars, crowned with sacred banners. It is the ultimate center of Dravidian nomadic spiritual life, drawing pilgrims and uniting the entire clan under the ancestors’ gaze.;;;;;x
