#Code;English;French;German;Spanish;Russian;x
hqp_zoroastrian_archive_scroll_nook;Scroll Nook;;;;;x
hqp_zoroastrian_archive_scroll_nook_desc;A makeshift corner within the keep, lined with rough shelves and leather pouches to store essential scrolls and records. Offers modest support to administrative efforts.;;;;;x
hqp_zoroastrian_archive_scriptorium;Scriptorium;;;;;x
hqp_zoroastrian_archive_scriptorium_desc;A covered structure with benches and ink-stained tables, where scribes labor to copy records and decrees. Improves local administration and levy organization.;;;;;x
hqp_zoroastrian_archive_manuscript_room;Manuscript Room;;;;;x
hqp_zoroastrian_archive_manuscript_room_desc;A secure, dry chamber dedicated to housing valuable manuscripts. Skilled archivists preserve documents, supporting both taxation and military readiness.;;;;;x
hqp_zoroastrian_archive_archive_chamber;Archive Chamber;;;;;x
hqp_zoroastrian_archive_archive_chamber_desc;A fortified stone room for storing sensitive records, decrees, and ledgers. Enhances administrative efficiency and defensive organization.;;;;;x
hqp_zoroastrian_archive_keepers_vault;Keepers Vault;;;;;x
hqp_zoroastrian_archive_keepers_vault_desc;An imposing stone vault, attended by learned keepers, where the most vital records and secrets are guarded. Significantly improves tax collection and local fortification.;;;;;x
hqp_zoroastrian_archive_wisemens_library;Wisemens Library;;;;;x
hqp_zoroastrian_archive_wisemens_library_desc;A dedicated hall of study and strategy, where wise men consult tomes and advise the lord. Greatly enhances levy organization and technological progress.;;;;;x
hqp_zoroastrian_archive_royal_archive;Royal Archive;;;;;x
hqp_zoroastrian_archive_royal_archive_desc;A grand archive, staffed by officials, collecting royal decrees and ancestral records. Its influence streamlines castle governance and defense.;;;;;x
hqp_zoroastrian_archive_scholars_repository;Scholars' Repository;;;;;x
hqp_zoroastrian_archive_scholars_repository_desc;An extensive collection curated by renowned scholars, with secure vaults and study rooms. Provides major improvements to governance, levy, and technological advancement.;;;;;x
hqp_zoroastrian_archive_palace_archive;Palace Archive;;;;;x
hqp_zoroastrian_archive_palace_archive_desc;A sprawling archival complex within the palace, housing centuries of records, maps, and decrees. Empowers administration, levy, and technological superiority.;;;;;x
hqp_zoroastrian_archive_grand_library;Grand Library;;;;;x
hqp_zoroastrian_archive_grand_library_desc;A legendary institution that houses ancient tomes, legal codes, and knowledge from distant lands. This crown jewel of administration empowers the realms prosperity, defense, and learning.;;;;;x
