#Code;English;French;German;Spanish;Russian;x
goe_finno_ugric_spirit_post;Spirit Post;;;;;x
goe_finno_ugric_spirit_post_desc;A simple wooden post adorned with feathers and animal bones, serving as the earliest marker of shamanic presence and a gathering point for the clans spiritual guidance.;;;;;x
goe_finno_ugric_bone_rattle_hut;Bone Rattle Hut;;;;;x
goe_finno_ugric_bone_rattle_hut_desc;A hide-draped lean-to where the shaman crafts bone rattles and fetishes, used to commune with spirits and bolster the unity of the clan during hardship.;;;;;x
goe_finno_ugric_drum_circle;Drum Circle;;;;;x
goe_finno_ugric_drum_circle_desc;A communal area ringed with logs and drums, where rhythmic ceremonies reinforce tribal bonds and lend spiritual strength to the horde.;;;;;x
goe_finno_ugric_sacred_fire_tent;Sacred Fire Tent;;;;;x
goe_finno_ugric_sacred_fire_tent_desc;A central tent housing the eternal sacred fire. Here, the shaman leads rituals believed to protect the people and ensure the favor of ancestral spirits.;;;;;x
goe_finno_ugric_ancestor_shelter;Ancestor Shelter;;;;;x
goe_finno_ugric_ancestor_shelter_desc;A larger, sturdier structure built of timber and earth, housing relics of revered ancestors and serving as a sanctuary for sacred rites.;;;;;x
goe_finno_ugric_totem_pavilion;Totem Pavilion;;;;;x
goe_finno_ugric_totem_pavilion_desc;A great tent adorned with carved wooden totems, each representing a spirit guardian. The pavilion is a center of ceremonies and clan deliberations.;;;;;x
goe_finno_ugric_vision_yurt;Vision Yurt;;;;;x
goe_finno_ugric_vision_yurt_desc;A large, ornate yurt used for trance rituals and divination, where the high shaman seeks visions for the future of the clan and the horde.;;;;;x
goe_finno_ugric_seers_room;Seers Room;;;;;x
goe_finno_ugric_seers_room_desc;A private, sanctified chamber within the vision yurt, reserved for the most potent and secretive rituals. Only the most trusted shamans may enter.;;;;;x
goe_finno_ugric_spirit_chamber;Spirit Chamber;;;;;x
goe_finno_ugric_spirit_chamber_desc;A hidden, fortified chamber where the shaman communes with the most powerful spirits to secure the favor of the unseen world for the entire horde.;;;;;x
goe_finno_ugric_high_shaman_camp;High Shaman Camp;;;;;x
goe_finno_ugric_high_shaman_camp_desc;An expansive complex of tents, shelters, and sacred spaces serving as the heart of the clans spiritual life, unifying the horde under the wisdom and power of the High Shaman.;;;;;x
