#Code;English;French;German;Spanish;Russian;x
paa_central_germanic_story_circle;Story Circle;;;;;x
paa_central_germanic_story_circle_desc;A humble fire-lit ring where elders and travelers share tales, strengthening the unity of the clan.;;;;;x
paa_central_germanic_chroniclers_tent;Chroniclers Tent;;;;;x
paa_central_germanic_chroniclers_tent_desc;A weathered tent where a clan scribe records deeds and births, preserving memory and boosting prestige.;;;;;x
paa_central_germanic_rune_reader_hut;Rune Reader Hut;;;;;x
paa_central_germanic_rune_reader_hut_desc;A modest wooden hut where rune masters interpret omens, fostering wisdom and unity among the clansfolk.;;;;;x
paa_central_germanic_scribes_pavilion;Scribes Pavilion;;;;;x
paa_central_germanic_scribes_pavilion_desc;A large, canvas-roofed gathering where scribes copy sagas and genealogy, aiding in the spread of stories and learning.;;;;;x
paa_central_germanic_lorekeepers_bench;Lorekeepers Bench;;;;;x
paa_central_germanic_lorekeepers_bench_desc;A solid timber bench for the appointed lorekeeper, granting structure to the oral tradition and enhancing clan prestige.;;;;;x
paa_central_germanic_tale_hall;Tale Hall;;;;;x
paa_central_germanic_tale_hall_desc;A sturdy wooden hall where entire clans gather for recitations, feasts, and council, greatly boosting unity and memory.;;;;;x
paa_central_germanic_archivists_chamber;Archivists Chamber;;;;;x
paa_central_germanic_archivists_chamber_desc;A fortified archive built from logs and stone, where clan records and relics are safeguarded for posterity.;;;;;x
paa_central_germanic_saga_room;Saga Room;;;;;x
paa_central_germanic_saga_room_desc;A grand chamber decorated with carved panels, where the greatest stories are inscribed and retold for generations.;;;;;x
paa_central_germanic_chroniclers_hall;Chroniclers Hall;;;;;x
paa_central_germanic_chroniclers_hall_desc;A stately timber longhouse, home to multiple chroniclers and their apprentices, who document every aspect of clan life.;;;;;x
paa_central_germanic_great_lore_house;Great Lore House;;;;;x
paa_central_germanic_great_lore_house_desc;A monumental seat of wisdom, where sages, chroniclers, and loremasters gather to preserve, teach, and guide all clans under one banner.;;;;;x
