#Code;English;French;German;Spanish;Russian;x
boe_latin_library_scroll_chest;Scroll Chest;;;;;x
boe_latin_library_scroll_chest_desc;A sturdy, lockable chest for storing precious scrolls, protecting knowledge from the harsh elements of the steppe.;;;;;x
boe_latin_library_scribes_desk;Scribes Desk;;;;;x
boe_latin_library_scribes_desk_desc;A simple wooden desk for copying texts and keeping clan records, enabling a rudimentary bureaucracy.;;;;;x
boe_latin_library_reading_alcove;Reading Alcove;;;;;x
boe_latin_library_reading_alcove_desc;A canvas-and-wooden shelter where elders gather to study and discuss written works, fostering unity and learning.;;;;;x
boe_latin_library_stone_study;Stone Study;;;;;x
boe_latin_library_stone_study_desc;A semi-permanent stone-built shelter, protecting collection and scholars alike, a symbol of permanence amid the steppes.;;;;;x
boe_latin_library_scriptorium;Scriptorium;;;;;x
boe_latin_library_scriptorium_desc;A dedicated building for copying and illuminating texts, attracting learned men from distant lands.;;;;;x
boe_latin_library_book_nook;Book Nook;;;;;x
boe_latin_library_book_nook_desc;A cozy, fire-warmed chamber where tomes and codices are safely stored under lock and key, encouraging literacy among the elite.;;;;;x
boe_latin_library_copyists_hall;Copyists Hall;;;;;x
boe_latin_library_copyists_hall_desc;A grand hall bustling with scribes and apprentices, producing copies for the clan and for trade, spreading Latinate learning across the steppes.;;;;;x
boe_latin_library_scholars_room;Scholars' Room;;;;;x
boe_latin_library_scholars_room_desc;A secure, lamp-lit chamber where learned men debate philosophy, law, and administration, furthering the clans wisdom and prestige.;;;;;x
boe_latin_library_archivists_library;Archivists Library;;;;;x
boe_latin_library_archivists_library_desc;A fortified library employing archivists to catalogue, preserve, and secure the clans knowledge, with growing renown among scholars afar.;;;;;x
boe_latin_library_grand_latin_library;Grand Latin Library;;;;;x
boe_latin_library_grand_latin_library_desc;The preeminent center of Latinate learning in the nomad world, attracting scholars, boosting population, and cementing the clans legacy in the annals of history.;;;;;x
