#Code;English;French;German;Spanish;Russian;x
poc_altaic_tethered_herd;Tethered Herd;;;;;x
poc_altaic_tethered_herd_desc;A simple cluster of animals, loosely tied near the camp with crude rope and wooden stakes. Represents the bare minimum of nomadic animal husbandry upon arrival in the steppe.;;;;;x
poc_altaic_grazing_patch;Grazing Patch;;;;;x
poc_altaic_grazing_patch_desc;Trampled grasslands and makeshift fencing allow for a more organized grazing area, reducing animal loss and boosting herd health.;;;;;x
poc_altaic_corral_hut;Corral Hut;;;;;x
poc_altaic_corral_hut_desc;A small wooden corral and a herders hut, providing basic shelter and security for livestock. Begins to integrate animal shelters into the nomadic lifestyle.;;;;;x
poc_altaic_shepherds_tent;Shepherds Tent;;;;;x
poc_altaic_shepherds_tent_desc;Larger felt tents for herdsmen and their families, with improved fencing and primitive storage for fodder. Supports herd expansion and encourages clan cohesion.;;;;;x
poc_altaic_herdsman_pavilion;Herdsmans Pavilion;;;;;x
poc_altaic_herdsman_pavilion_desc;A complex of grand felt pavilions and sturdy wooden corrals, requiring advanced herding knowledge to maintain large flocks and clan unity.;;;;;x
poc_altaic_livestock_pen;Livestock Pen;;;;;x
poc_altaic_livestock_pen_desc;Enclosed wooden pens and primitive stables, allowing for greater herd specialization, selective breeding, and improved animal health.;;;;;x
poc_altaic_breeders_yard;Breeders Yard;;;;;x
poc_altaic_breeders_yard_desc;A specialized area for the controlled breeding of high-quality livestock. Employs experienced breeders and improved veterinary practices.;;;;;x
poc_altaic_chiefs_herd_hall;Chiefs Herd Hall;;;;;x
poc_altaic_chiefs_herd_hall_desc;A grand central tent for the clan leader, surrounded by the most prized beasts. Center of judgment, celebration, and command, symbolizing the strength of the Altaic steppe.;;;;;x
poc_altaic_steppe_herd_pavilion;Steppe Herd Pavilion;;;;;x
poc_altaic_steppe_herd_pavilion_desc;A permanent, fortified encampment with grand tents, corrals, and large open spaces for the largest herds. Attracts skilled herders from across the steppe.;;;;;x
poc_altaic_grand_herd_enclosure;Altaic Grand Herd Enclosure;;;;;x
poc_altaic_grand_herd_enclosure_desc;A monumental enclosure of wood and stone, ringed with ornate pavilions. Represents the pinnacle of nomadic animal husbandry, clan unity, and Altaic prestige.;;;;;x
