#Code;English;French;German;Spanish;Russian;x
beu_byz_silk_silkworm_box;Silkworm Box;;;;;x
beu_byz_silk_silkworm_box_desc;The first step for any silk nomad: a simple, mobile box for silkworms, easily carried by the clan. Enables basic silk cultivation and begins the journey toward luxury production.;;;;;x
beu_byz_silk_spinning_frame;Spinning Frame;;;;;x
beu_byz_silk_spinning_frame_desc;A portable wooden frame for spinning silk threads, used by the clans laborers. Improves silk output and provides the basis for further textile work.;;;;;x
beu_byz_silk_weavers_hut;Weavers Hut;;;;;x
beu_byz_silk_weavers_hut_desc;A sturdy felt tent dedicated to weaving, staffed by skilled artisans. This marks a leap in the clans ability to process silk and support a larger population.;;;;;x
beu_byz_silk_dye_bath_room;Dye Bath Room;;;;;x
beu_byz_silk_dye_bath_room_desc;A large, semi-permanent tent structure with dye vats, allowing the clan to color silk in vibrant hues. Greatly increases the value of silk goods and attracts traders.;;;;;x
beu_byz_silk_woven_silk_pavilion;Woven Silk Pavilion;;;;;x
beu_byz_silk_woven_silk_pavilion_desc;A grand tented pavilion for showcasing and refining finished silks. Advanced looms and experienced weavers gather here, marking the clan as a center of silk craftsmanship.;;;;;x
beu_byz_silk_fine_cloth_hall;Fine Cloth Hall;;;;;x
beu_byz_silk_fine_cloth_hall_desc;A semi-permanent wooden structure, lined with silk, where master weavers teach apprentices and produce high-quality cloth for trade and tribute.;;;;;x
beu_byz_silk_patterned_silk_chamber;Patterned Silk Chamber;;;;;x
beu_byz_silk_patterned_silk_chamber_desc;A lavish tented chamber for weaving complex patterns and unique designs, drawing merchants and dignitaries from afar. The clan becomes renowned for its artistry.;;;;;x
beu_byz_silk_master_weavers_room;Master Weavers Room;;;;;x
beu_byz_silk_master_weavers_room_desc;A prestigious mobile chamber reserved for the most skilled weavers. Here, luxury commissions are created for sultans and emperors, amplifying the clans influence.;;;;;x
beu_byz_silk_imperial_silk_hall;Imperial Silk Hall;;;;;x
beu_byz_silk_imperial_silk_hall_desc;A magnificent, semi-permanent palace tent adorned with golden silk tapestries. Imperial buyers flock here, cementing the clans status as the foremost silk producers of the steppe.;;;;;x
beu_byz_silk_byzantine_silk_guild;Byzantine Silk Guild;;;;;x
beu_byz_silk_byzantine_silk_guild_desc;A legendary association of master weavers, merchants, and silk lords, with its own laws and privileges. The Silk Guild serves as a diplomatic hub, uniting clans and impressing foreign courts.;;;;;x
