#Code;English;French;German;Spanish;Russian;x
zzx_zoroastrian_ritual_stand;Ritual Stand;;;;;x
zzx_zoroastrian_ritual_stand_desc;A simple wooden dais, hastily erected on the steppe, for basic Zoroastrian prayers and gatherings. Marks the most basic center for communal worship.;;;;;x
zzx_zoroastrian_wicker_fence;Wicker Fence;;;;;x
zzx_zoroastrian_wicker_fence_desc;A woven fence of local reeds and sticks encircles the worship area, protecting rituals from prying eyes and symbolically marking sacred ground.;;;;;x
zzx_zoroastrian_shrine_patch;Shrine Patch;;;;;x
zzx_zoroastrian_shrine_patch_desc;A cleared and consecrated patch of earth, with stone markers and a permanent fire-pit, serves as a fixed point for communal rites and fire worship.;;;;;x
zzx_zoroastrian_priests_shelter;Priests Shelter;;;;;x
zzx_zoroastrian_priests_shelter_desc;A sturdy felt tent or yurt for the mobed (priest) and sacred implements, allowing for more regular rituals and spiritual leadership among the clan.;;;;;x
zzx_zoroastrian_spirit_pavilion;Spirit Pavilion;;;;;x
zzx_zoroastrian_spirit_pavilion_desc;A large, semi-permanent pavilion of felt and wood, appointed with sacred banners and fire altars, hosts larger clan gatherings and seasonal rituals.;;;;;x
zzx_zoroastrian_sanctified_room;Sanctified Room;;;;;x
zzx_zoroastrian_sanctified_room_desc;A wooden or stone-walled chamber, kept ritually pure, where sacred fires burn protected from the wind. Marks a transition to more permanent and respected worship.;;;;;x
zzx_zoroastrian_blessed_chamber;Blessed Chamber;;;;;x
zzx_zoroastrian_blessed_chamber_desc;A stone structure with an inner sanctum, reserved for fire priests and the most sacred rites. Clan leaders gather here to seek divine favor.;;;;;x
zzx_zoroastrian_diviners_hall;Diviners Hall;;;;;x
zzx_zoroastrian_diviners_hall_desc;A grand hall decorated with sacred motifs, where priests interpret omens and guide the clans spiritual path. Becomes a center of unity and tradition.;;;;;x
zzx_zoroastrian_holy_room;Holy Room;;;;;x
zzx_zoroastrian_holy_room_desc;A sanctified chamber with intricate carvings, dedicated to the holiest fires and used for the most significant clan ceremonies, drawing all in devotion.;;;;;x
zzx_zoroastrian_ritual_hall;Zoroastrian Ritual Hall;;;;;x
zzx_zoroastrian_ritual_hall_desc;An awe-inspiring hall of stone and wood, adorned with fire altars, sacred texts, and relics. It anchors the faith of the clan and cements spiritual unity.;;;;;x
