#Code;English;French;German;Spanish;Russian;x
fai_arctic_snow_shelter;Snow Shelter;;;;;x
fai_arctic_snow_shelter_desc;Crude snow walls and dugouts offer the barest protection from freezing winds, allowing settlers to survive the first brutal nights of the Arctic.;;;;;x
fai_arctic_fur_tent;Fur Tent;;;;;x
fai_arctic_fur_tent_desc;Large communal tents lined with furs, providing much-needed warmth and community for garrisoned soldiers, improving morale and retention.;;;;;x
fai_arctic_ice_hut;Ice Hut;;;;;x
fai_arctic_ice_hut_desc;Simple huts of packed snow and ice, reinforced with scavenged timber. These provide more secure shelter and help maintain a small garrison.;;;;;x
fai_arctic_stone_igloo;Stone Igloo;;;;;x
fai_arctic_stone_igloo_desc;Expertly crafted stone igloos and vaults, their domes providing unparalleled insulation and a formidable defense against siege and snow alike.;;;;;x
fai_arctic_log_cabin;Log Cabin;;;;;x
fai_arctic_log_cabin_desc;Sturdy log cabins offer lasting shelter and a defensible position against both the elements and raiders. The beginnings of a true outpost.;;;;;x
fai_arctic_windbreak_wall;Windbreak Wall;;;;;x
fai_arctic_windbreak_wall_desc;Timber and stone windbreaks encircle the outpost, shielding it from storms and making direct assaults much more difficult.;;;;;x
fai_arctic_stockpile_shelter;Stockpile Shelter;;;;;x
fai_arctic_stockpile_shelter_desc;Deep cellars and reinforced storage shelters secure vital supplies against both siege and the deadly cold, sustaining the defenders through hardship.;;;;;x
fai_arctic_blizzard_hall;Blizzard Hall;;;;;x
fai_arctic_blizzard_hall_desc;A great timber-and-stone hall, its walls shaped to break the fiercest blizzards. The garrison can now muster and train inside, and the outpost becomes a true seat of feudal power.;;;;;x
fai_arctic_frozen_bastion;Frozen Bastion;;;;;x
fai_arctic_frozen_bastion_desc;Towering walls of stone and packed ice, bristling with defensive works and shelters for a great garrison. The outpost is now a true fortress in the frozen wastes.;;;;;x
fai_arctic_arctic_citadel;Arctic Citadel;;;;;x
fai_arctic_arctic_citadel_desc;A colossal citadel of stone and ice, its towers rising above the tundra. Able to withstand any siege and project authority across the frozen realm, it is the crowning achievement of Arctic fortification.;;;;;x
