#Code;English;French;German;Spanish;Russian;x
mpe_signal_post;Signal Post;;;;;x
mpe_signal_post_desc;A simple wooden post raised on the steppe, where messengers can leave marks or signals for passing riders. Useful for basic communication and early warnings between clans.;;;;;x
mpe_runners_shelter;Runners Shelter;;;;;x
mpe_runners_shelter_desc;A crude, hide-covered lean-to providing rest and cover for clan runners and messengers. Shelter from the elements encourages more frequent communication.;;;;;x
mpe_relay_yurt;Relay Yurt;;;;;x
mpe_relay_yurt_desc;A modest yurt established along messenger routes, equipped for swift horse changes and shelter. It helps maintain a steady flow of information across the steppes.;;;;;x
mpe_message_stand;Message Stand;;;;;x
mpe_message_stand_desc;A wooden stand and notice board where written and carved messages are left for passing warriors and travelers. Marks a maturing communications network.;;;;;x
mpe_flagstaff_station;Flagstaff Station;;;;;x
mpe_flagstaff_station_desc;A permanent pole and signal fire post, staffed to send smoke and flag signals over great distances. Enables rapid alerting of all nearby clans.;;;;;x
mpe_mounted_courier_post;Mounted Courier Post;;;;;x
mpe_mounted_courier_post_desc;A small complex of stables and rest yurts, where trained couriers switch horses for maximum speed. Greatly improves horde coordination and response time.;;;;;x
mpe_falcon_loft;Falcon Loft;;;;;x
mpe_falcon_loft_desc;A grand structure for housing trained messenger falcons, allowing for the fastest dispatches to distant kin. The pride of any nomad khan.;;;;;x
mpe_swift_relay_camp;Swift Relay Camp;;;;;x
mpe_swift_relay_camp_desc;A fortified and well-supplied encampment for elite messengers and their horses, ensuring the near-instant transmission of orders and news across the realm.;;;;;x
mpe_fleet_rider_pavilion;Fleet Rider Pavilion;;;;;x
mpe_fleet_rider_pavilion_desc;A grand yurt-pavilion reserved for the fastest riders and their best steeds, boasting advanced logistics, stores, and scribes. Maximizes communication, unity, and response in a sprawling khanate.;;;;;x
mpe_imperial_courier_quarters;Imperial Courier Quarters;;;;;x
imperial_courier_quarters_desc;A sprawling, luxurious headquarters for the empires supreme couriers. Boasts the finest stables, falconries, and administrative halls. Ensures instant response and ironclad unity across the steppe.;;;;;x
