#Code;English;French;German;Spanish;Russian;x
jgc_finno_ugric_bear_skull_post;Bear Skull Post;;;;;x
jgc_finno_ugric_bear_skull_post_desc;A humble wooden post adorned with the skull of a bear, marking sacred ground and rallying the clan in the wilds.;;;;;x
jgc_finno_ugric_stone_altar;Stone Altar;;;;;x
jgc_finno_ugric_stone_altar_desc;A roughly-hewn stone altar for offerings to the Bear Spirit, strengthening unity and clan traditions.;;;;;x
jgc_finno_ugric_bear_hide_tent;Bear Hide Tent;;;;;x
jgc_finno_ugric_bear_hide_tent_desc;A large tent crafted from bear hides, providing shelter for shamanic rites and a gathering point for the clan.;;;;;x
jgc_finno_ugric_bear_tooth_stand;Bear Tooth Stand;;;;;x
jgc_finno_ugric_bear_tooth_stand_desc;A ceremonial stand displaying the teeth of honored bears, inspiring awe and reverence among the tribes.;;;;;x
jgc_finno_ugric_shamanic_shelter;Shamanic Shelter;;;;;x
jgc_finno_ugric_shamanic_shelter_desc;A robust wooden shelter for shamans and spirit-keepers, providing guidance and unity for the bear-worshipping nomads.;;;;;x
jgc_finno_ugric_bear_spirit_hall;Bear Spirit Hall;;;;;x
jgc_finno_ugric_bear_spirit_hall_desc;A great timber hall where the clan gathers for feasts, rituals, and judgments in the name of the Bear Spirit.;;;;;x
jgc_finno_ugric_totem_pavilion;Totem Pavilion;;;;;x
jgc_finno_ugric_totem_pavilion_desc;A grand pavilion draped in sacred symbols and hides, housing totems and relics of the Bear Faith.;;;;;x
jgc_finno_ugric_bearkeepers_yurt;Bearkeepers Yurt;;;;;x
jgc_finno_ugric_bearkeepers_yurt_desc;The yurt of the Bearkeeper, spiritual head and guardian, from which ritual and discipline flows across the clan.;;;;;x
jgc_finno_ugric_great_bear_shrine;Great Bear Shrine;;;;;x
jgc_finno_ugric_great_bear_shrine_desc;A monumental wooden shrine decorated with bear carvings, the central seat of Finno-Ugric bear veneration.;;;;;x
jgc_finno_ugric_bear_sanctuary;Finno-Ugric Bear Sanctuary;;;;;x
jgc_finno_ugric_bear_sanctuary_desc;The supreme sanctuary of the Bear Faith, where all Finno-Ugric clans gather to honor the Bear Spirit and forge unity.;;;;;x
