#Code;English;French;German;Spanish;Russian;x
uzy_prayer_flag_post;Prayer Flag Post;;;;;x
uzy_prayer_flag_post_desc;A humble wooden pole adorned with fluttering prayer flags, serving as a focal point for communal prayers and blessings, even while on the move.;;;;;x
uzy_stone_marker;Stone Marker;;;;;x
uzy_stone_marker_desc;A rough-hewn stone inscribed with sacred mantras, anchoring the faithful and marking a site of regular communal devotion.;;;;;x
uzy_walled_shrine;Walled Shrine;;;;;x
uzy_walled_shrine_desc;A small, sturdy enclosure built from earth and stone, protecting sacred relics and providing a space for deeper spiritual gatherings.;;;;;x
uzy_mani_pavilion;Mani Pavilion;;;;;x
uzy_mani_pavilion_desc;A timber pavilion housing prayer wheels and inscribed stones, encouraging constant devotion and attracting wandering monks and pilgrims.;;;;;x
uzy_chanting_room;Chanting Room;;;;;x
uzy_chanting_room_desc;A dedicated space for communal chanting and meditation, constructed with timber and clay, where monks lead daily rituals.;;;;;x
uzy_altar_hall;Altar Hall;;;;;x
uzy_altar_hall_desc;A spacious, ornately decorated tent or timber hall with a central altar, suitable for major religious festivals and public blessings.;;;;;x
uzy_priests_chamber;Priests Chamber;;;;;x
uzy_priests_chamber_desc;Private quarters for respected priests and lamas, enabling more learned clergy to reside and guide the nomadic faithful.;;;;;x
uzy_diviners_room;Diviners Room;;;;;x
uzy_diviners_room_desc;A secluded chamber for divination and ritual readings, enhancing spiritual guidance and unity within the clan.;;;;;x
uzy_sanctified_sanctuary;Sanctified Sanctuary;;;;;x
uzy_sanctified_sanctuary_desc;A revered inner sanctum, richly adorned and ritually purified, drawing pilgrims from afar and strengthening the communitys spiritual core.;;;;;x
uzy_tibetan_prayer_hall;Tibetan Prayer Hall;;;;;x
uzy_tibetan_prayer_hall_desc;A grand, multi-chambered hall of intricate woodwork and colorful murals, serving as a spiritual heart for the clan and a beacon of religious devotion.;;;;;x
