#Code;English;French;German;Spanish;Russian;x
bic_tethered_foal;Tethered Foal;;;;;x
bic_tethered_foal_desc;The humblest beginnings: a few foals roped to posts, watched by young herders. Simple earthworks and makeshift fences mark the start of a horse-breeding tradition.;;;;;x
bic_open_paddock;Open Paddock;;;;;x
bic_open_paddock_desc;A larger, open area surrounded by temporary fencing to allow foals and yearlings to roam. Increased grazing and rudimentary round pens encourage healthy development.;;;;;x
bic_corral_hut;Corral Hut;;;;;x
bic_corral_hut_desc;A central hut stands among sturdy wooden corrals for basic shelter and management. Herding and branding become organized, boosting population growth and manpower.;;;;;x
bic_breeder_tent;Breeders Tent;;;;;x
bic_breeder_tent_desc;Specialized tents for breeders and senior herdsmen, with fenced-off enclosures for select mares and stallions. Horse health and selective breeding are prioritized.;;;;;x
bic_grazing_yard;Grazing Yard;;;;;x
bic_grazing_yard_desc;Fenced grazing yards with rotating pastures allow the herd to flourish year-round. Improved fodder storage and water access support greater numbers.;;;;;x
bic_stallion_pavilion;Stallion Pavilion;;;;;x
bic_stallion_pavilion_desc;Grand, timber-framed pavilions house prize stallions and breeding stock. Skilled handlers ensure the finest mounts, and the prestige of the ranch grows.;;;;;x
bic_mares_room;Mares Room;;;;;x
bic_mares_room_desc;Sturdy longhouses and warm stables for mares in foal. Skilled midwives and secure birthing pens ensure healthy new generations and a thriving herd.;;;;;x
bic_stud_hall;Stud Hall;;;;;x
bic_stud_hall_desc;A dedicated hall for record-keeping, breeding contracts, and tribute collection. Renowned farriers and veterinarians serve the growing horse population.;;;;;x
bic_champion_stable;Champion Stable;;;;;x
bic_champion_stable_desc;Lavish stables for elite warhorses and racing champions. Trainers from distant lands arrive, and the renown of Magyar horses draws visitors and tribute.;;;;;x
bic_magyar_grand_ranch;Magyar Grand Ranch;;;;;x
bic_magyar_grand_ranch_desc;The legendary Grand Ranch: vast stone-walled fields, noble stables, and a great hall. The heart of Magyar horse culture, where the bloodlines of kings are bred and celebrated.;;;;;x
