#Code;English;French;German;Spanish;Russian;x
zuo_indian_prayer_stand;Prayer Stand;;;;;x
zuo_indian_prayer_stand_desc;A simple wooden stand for daily prayers, adorned with a few icons and offerings, fostering unity among the clan.;;;;;x
zuo_indian_stone_marker;Stone Marker;;;;;x
zuo_indian_stone_marker_desc;A sacred stone stela inscribed with prayers, marking the clans devotion and serving as a gathering point.;;;;;x
zuo_indian_walled_shrine;Walled Shrine;;;;;x
zuo_indian_walled_shrine_desc;A modest shrine of clay and stone walls, offering sanctuary for rituals and binding the clan together in worship.;;;;;x
zuo_indian_pillar_pavilion;Pillar Pavilion;;;;;x
zuo_indian_pillar_pavilion_desc;A sheltered pavilion supported by carved wooden pillars, hosting clan ceremonies and enhancing spiritual unity.;;;;;x
zuo_indian_chanting_room;Chanting Room;;;;;x
zuo_indian_chanting_room_desc;A dedicated chamber for devotional chants and recitations, reverberating with sacred mantras and fostering harmony.;;;;;x
zuo_indian_altar_hall;Altar Hall;;;;;x
zuo_indian_altar_hall_desc;A grand hall housing a communal altar, where offerings and large festivals unite the clan in faith.;;;;;x
zuo_indian_priests_chamber;Priests Chamber;;;;;x
zuo_indian_priests_chamber_desc;Residential quarters for priests and spiritual guides, ensuring constant religious counsel to the khan and clan.;;;;;x
zuo_indian_diviners_room;Diviners Room;;;;;x
zuo_indian_diviners_room_desc;A sanctified space for diviners to read omens and guide the horde, strengthening spiritual resolve and internal harmony.;;;;;x
zuo_indian_sanctified_sanctuary;Sanctified Sanctuary;;;;;x
zuo_indian_sanctified_sanctuary_desc;A magnificent sanctuary, sanctified by holy rites, drawing pilgrims and binding the clan through shared faith and ritual.;;;;;x
zuo_indian_grand_mandir;Grand Mandir;;;;;x
zuo_indian_grand_mandir_desc;A sprawling, awe-inspiring mandir, center of spiritual life for the horde, radiating unity, piety, and prestige throughout the lands.;;;;;x
