#Code;English;French;German;Spanish;Russian;x
tik_wild_date_stand;Wild Date Stand;;;;;x
tik_wild_date_stand_desc;A rough patch of wild date palms, loosely tended by nomads and providing a modest bounty for early settlers.;;;;;x
tik_young_palm_patch;Young Palm Patch;;;;;x
tik_young_palm_patch_desc;A cluster of young palms, carefully watered and protected by basic fencing, signaling the first step towards cultivation.;;;;;x
tik_fenced_orchard;Fenced Orchard;;;;;x
tik_fenced_orchard_desc;A modest orchard enclosed by wooden barriers, improving yield and protecting the date palms from roaming beasts.;;;;;x
tik_date_press_hut;Date Press Hut;;;;;x
tik_date_press_hut_desc;A mudbrick hut with a primitive press, where harvested dates are processed into syrup and simple cakes for storage and trade.;;;;;x
tik_expanded_grove;Expanded Grove;;;;;x
tik_expanded_grove_desc;A flourishing grove, irrigated with primitive canals, providing sustenance and employment to a growing nomadic population.;;;;;x
tik_walled_orchard;Walled Orchard;;;;;x
tik_walled_orchard_desc;A stone-walled orchard, complete with irrigation channels and guarded entry, ensuring security for the valuable date harvest.;;;;;x
tik_date_market_pavilion;Date Market Pavilion;;;;;x
tik_date_market_pavilion_desc;A bustling pavilion where date products are traded with travelers and merchants, drawing prosperity to the clan.;;;;;x
tik_syrup_hall;Syrup Hall;;;;;x
tik_syrup_hall_desc;A large hall with advanced presses, producing fine date syrup for clan use and prestigious export, enhancing the clans reputation.;;;;;x
tik_merchants_grove;Merchants Grove;;;;;x
tik_merchants_grove_desc;A splendid oasis of palms, markets, and shaded courtyards where caravans gather and the clans influence flourishes.;;;;;x
tik_arabic_grand_date_estate;Arabic Grand Date Estate;;;;;x
tik_arabic_grand_date_estate_desc;A legendary estate: immense orchards, luxurious mansions, and grand markets, symbolizing the zenith of nomadic prosperity and unity.;;;;;x
