#Code;English;French;German;Spanish;Russian;x
foy_byz_scroll_stand;Scroll Stand;;;;;x
foy_byz_scroll_stand_desc;A simple wooden rack for holding scrolls and scraps of parchment, used by nomads on the move to record vital knowledge and horde decrees.;;;;;x
foy_byz_manuscript_desk;Manuscript Desk;;;;;x
foy_byz_manuscript_desk_desc;A makeshift desk of planks and crates, providing a place for a learned nomad or scribe to produce and copy basic manuscripts among the tents.;;;;;x
foy_byz_reading_pavilion;Reading Pavilion;;;;;x
foy_byz_reading_pavilion_desc;A large felt tent set aside for reading and study, where elders and learned guests may gather to discuss the wisdom of the ancients.;;;;;x
foy_byz_copyists_room;Copyists Room;;;;;x
foy_byz_copyists_room_desc;A sturdy wooden enclosure, insulated against the wind, where copyists labor to duplicate scrolls and codices for the clans use.;;;;;x
foy_byz_scribes_alcove;Scribes Alcove;;;;;x
foy_byz_scribes_alcove_desc;A small, well-protected alcove within the central encampment, reserved for trusted scribes to record treaties, annals, and histories. Requires Construction technology.;;;;;x
foy_byz_scriptorium;Scriptorium;;;;;x
foy_byz_scriptorium_desc;A semi-permanent stone and timber structure where a staff of scribes, translators, and illuminators preserve and create works of knowledge. Demands advanced city construction.;;;;;x
foy_byz_book_storage_hall;Book Storage Hall;;;;;x
foy_byz_book_storage_hall_desc;A specialized timber hall, climate-shielded with nomad ingenuity, for storing precious books and scrolls. Knowledge is now a true resource of the horde.;;;;;x
foy_byz_scholars_study;Scholars Study;;;;;x
foy_byz_scholars_study_desc;A dedicated study for visiting and resident scholars, with imported lamps, writing materials, and rare parchment. The horde recruits wisdom from far and wide.;;;;;x
foy_byz_archivists_chamber;Archivists Chamber;;;;;x
foy_byz_archivists_chamber_desc;A fireproofed, semi-permanent chamber staffed by skilled archivists. Imperial agents and clan elders alike consult the growing trove of written lore and law.;;;;;x
foy_byz_grand_byzantine_library;Grand Byzantine Library;;;;;x
foy_byz_grand_byzantine_library_desc;A sprawling, ornate structure echoing the glory of Byzantium, a beacon of learning and unity among the nomads. Here, the wisdom of East and West is preserved for generations.;;;;;x
