#Code;English;French;German;Spanish;Russian;x
dwm_clay_basin;Clay Basin;;;;;x
dwm_clay_basin_desc;A simple clay-lined basin dug into the earth to collect and store water for the tribe. Provides a basic communal source of fresh water, supporting population growth and unity.;;;;;x
dwm_stone_fountain;Stone Fountain;;;;;x
dwm_stone_fountain_desc;An expertly crafted stone fountain, fed by underground channels or manually filled, becomes the heart of the encampment. Its presence encourages growth and stability.;;;;;x
dwm_sanctified_room;Sanctified Room;;;;;x
dwm_sanctified_room_desc;A sanctified chamber, often a rich tent or small timbered hut, dedicated to ritual purification. Used for sacred water rites and prayers, it fosters devotion and unity.;;;;;x
dwm_water_pavilion;Water Pavilion;;;;;x
dwm_water_pavilion_desc;A spacious wooden pavilion surrounds the central fountain, sheltering ritual gatherings. The structure supports larger gatherings and provides clean water for the tribe.;;;;;x
dwm_priests_chamber;Priests Chamber;;;;;x
dwm_priests_chamber_desc;A dedicated chamber for the tribes Mobad, the Zoroastrian priest. It is used for scriptural study, meditation, and leading water rites, strengthening religious authority.;;;;;x
dwm_blessed_hall;Blessed Hall;;;;;x
dwm_blessed_hall_desc;A large tented or wooden hall where the faithful gather for communal rituals and water blessings. Its presence inspires piety and clan unity.;;;;;x
dwm_holy_pavilion;Holy Pavilion;;;;;x
dwm_holy_pavilion_desc;A grand pavilion, richly decorated and consecrated, serves as the focal point for grand ceremonies and water festivals, attracting pilgrims and boosting prestige.;;;;;x
dwm_sanctuary_room;Sanctuary Room;;;;;x
dwm_sanctuary_room_desc;A sanctum within the holy pavilion dedicated to the sacred purification of water and souls. Used for secluded meditation, rites, and fostering deeper unity.;;;;;x
dwm_water_sanctuary;Water Sanctuary;;;;;x
dwm_water_sanctuary_desc;A revered sanctuary, with marble or stonework, pools, and channels for water purification rituals. It is a site of pilgrimage, greatly enhancing unity and priestly authority.;;;;;x
dwm_zoroastrian_water_pavilion;Zoroastrian Water Pavilion;;;;;x
dwm_zoroastrian_water_pavilion_desc;The ultimate sanctum for Zoroastrian nomads: a magnificent, fortified pavilion with sacred pools, fire altars, and priestly quarters. It represents the tribes unity, piety, and spiritual guidance.;;;;;x
