#Code;English;French;German;Spanish;Russian;x
pbc_reed_hive;Reed Hive;;;;;x
pbc_reed_hive_desc;Primitive bee skeps woven from reeds, set on the fringes of the camp. The beginning of beekeeping in the wild Slavic lands.;;;;;x
pbc_clay_hive;Clay Hive;;;;;x
pbc_clay_hive_desc;Improved hives shaped from local clay, providing better insulation and protection for bee colonies. A modest step toward reliable honey yields.;;;;;x
pbc_wicker_apiary;Wicker Apiary;;;;;x
pbc_wicker_apiary_desc;A cluster of portable wicker hives, enabling the movement of colonies with the clan. Honey output grows as beekeeping knowledge spreads.;;;;;x
pbc_timber_hive_house;Timber Hive House;;;;;x
pbc_timber_hive_house_desc;A sturdy wooden structure housing advanced hives and tools, protecting bees and honey stores from weather and raiders. Marked progress in Slavic apiculture.;;;;;x
pbc_honey_stand;Honey Stand;;;;;x
pbc_honey_stand_desc;A busy market stall for selling honey and beeswax, drawing traders and boosting clan prosperity. A sign of growing trade and prestige.;;;;;x
pbc_wax_pavilion;Wax Pavilion;;;;;x
pbc_wax_pavilion_desc;A grand tent for processing and storing wax and honey, centralizing production and attracting distant merchants. A hub of economic activity.;;;;;x
pbc_bee_breeders_room;Bee Breeders Room;;;;;x
pbc_bee_breeders_room_desc;A specialized chamber for nurturing queen bees and selecting the strongest colonies, increasing yields and bee health across the clan.;;;;;x
pbc_market_apiary;Market Apiary;;;;;x
pbc_market_apiary_desc;A fortified market outpost for honey and beeswax trade, with dedicated guards and scribes. Establishes the clan as a regional honey power.;;;;;x
pbc_master_beekeepers_hall;Master Beekeepers Hall;;;;;x
pbc_master_beekeepers_hall_desc;A grand meeting hall for the most skilled apiarists. Here, knowledge is shared and beekeeping techniques perfected, ensuring unmatched honey riches.;;;;;x
pbc_west_slavic_apiary_guild;West Slavic Apiary Guild;;;;;x
pbc_west_slavic_apiary_guild_desc;The revered guild of Slavic apiarists. Its organization ensures clan unity, honey mastery, and a lasting legacy amid the wilds.;;;;;x
