#Code;English;French;German;Spanish;Russian;x
eay_warrior_gathering_ring_1;Warrior Gathering Ring;;;;;x
eay_warrior_gathering_ring_1_desc;A crude ring of stones and firepits where warriors assemble for basic mustering, stories, and vows before raiding expeditions.;;;;;x
eay_practice_circle_1;Practice Circle;;;;;x
eay_practice_circle_1_desc;A rough patch of trampled earth where youth and warriors spar, practice with wooden weapons, and settle disputes.;;;;;x
eay_mounted_drill_yard_1;Mounted Drill Yard;;;;;x
eay_mounted_drill_yard_1_desc;A makeshift paddock for training horses and riders for hit-and-run raids and fast formations.;;;;;x
eay_weapons_rack_camp_1;Weapons Rack Camp;;;;;x
eay_weapons_rack_camp_1_desc;A cluster of weapon racks, lean-tos, and guarded tents where arms are stored and maintained, ready for sudden assembly.;;;;;x
eay_raiders_pavilion_1;Raiders Pavilion;;;;;x
eay_raiders_pavilion_1_desc;A large, ornate tent reserved for the chieftains to plan raids, store spoils, and rally the bravest warriors before battle.;;;;;x
eay_trained_riders_field_1;Trained Riders' Field;;;;;x
eay_trained_riders_field_1_desc;A wide, well-trodden tract for maneuver exercises, with instructors drilling select riders in advanced tactics and formation riding.;;;;;x
eay_battle_ready_arena_1;Battle-Ready Arena;;;;;x
eay_battle_ready_arena_1_desc;A fortified arena of wooden palisades and stands, where warriors compete in mock battles, contests of skill, and horde-wide assemblies.;;;;;x
eay_commanders_stand_1;Commanders Stand;;;;;x
eay_commanders_stand_1_desc;A tall wooden tower and command dais, allowing leaders to oversee musters, issue orders, and inspire the horde.;;;;;x
eay_elite_muster_ground_1;Elite Muster Ground;;;;;x
eay_elite_muster_ground_1_desc;A vast, well-tended field and encampment for the hordes finest, with permanent lodges, storehouses, and armories for rapid assembly.;;;;;x
eay_khans_rally_square_1;Khans Rally Square;;;;;x
eay_khans_rally_square_1_desc;A grand, paved assembly ground with banners, shrines, and a permanent stage for the Khan to address and unite the entire horde before campaigns of legend.;;;;;x
