Code;English;French;German;Spanish;Russian;x
ct_university_1;Scholars' Refuge;;;;;x
ct_university_1_desc;A quiet refuge where curious minds gather and the first formal exchange of ideas takes shape.;;;;;x
ct_university_2;Scriptorium Hall;;;;;x
ct_university_2_desc;A permanent chamber for copying texts and collecting knowledge in primitive but durable forms.;;;;;x
ct_university_3;Foundation College;;;;;x
ct_university_3_desc;A basic educational institution emerges, offering limited instruction in administration and thought.;;;;;x
ct_university_4;Civic Academy;;;;;x
ct_university_4_desc;A growing center where civic and scholarly disciplines begin to be codified and taught methodically.;;;;;x
ct_university_5;Regional Lyceum;;;;;x
ct_university_5_desc;Educators and students from surrounding lands gather, fostering a burgeoning regional influence.;;;;;x
ct_university_6;Chancellery of Thought;;;;;x
ct_university_6_desc;An established institution where abstract theory, law, and statecraft are all subject to vigorous study.;;;;;x
ct_university_7;Grand Collegium;;;;;x
ct_university_7_desc;A vast campus of interlinked disciplines, fostering debate, archives, and advancement across fields.;;;;;x
ct_university_8;Imperial University;;;;;x
ct_university_8_desc;An elite establishment with state backing, where military, cultural, and economic knowledge is centralized.;;;;;x
ct_university_9;Seat of Enlightenment;;;;;x
ct_university_9_desc;The university now shapes governance, faith, and innovation across realms, drawing foreign dignitaries.;;;;;x
ct_university_10;Panarchic Institute;;;;;x
ct_university_10_desc;A beacon of wisdom whose influence reaches beyond borders, guiding both kings and councils.;;;;;x
