#Code;English;French;German;Spanish;Russian;x
jzn_scroll_stand;Scroll Stand;;;;;x
jzn_scroll_stand_desc;A simple wooden rack, protected by oiled cloth, where a few treasured scrolls are displayed for communal reading and study. The first step in preserving Jewish tradition amidst the steppe winds.;;;;;x
jzn_scribes_desk;Scribes Desk;;;;;x
jzn_scribes_desk_desc;A sturdy desk, often carried by wagon, where a skilled scribe copies sacred texts and chronicles clan stories. The desk helps preserve law and learning among the people.;;;;;x
jzn_reading_pavilion;Reading Pavilion;;;;;x
jzn_reading_pavilion_desc;A covered tent, set apart for communal reading, teaching, and prayers. The pavilion hosts gatherings for study and preserves unity among the faithful.;;;;;x
jzn_copyists_room;Copyists Room;;;;;x
jzn_copyists_room_desc;A partitioned section of the camp, with benches and tables, where several copyists work to duplicate holy texts and clan records. The first step toward a true archive.;;;;;x
jzn_book_nook;Book Nook;;;;;x
jzn_book_nook_desc;A well-tended, semi-permanent structure where precious books are stored in chests and on shelves. Clan elders and scholars gather here to consult the wisdom of generations.;;;;;x
jzn_manuscript_hall;Manuscript Hall;;;;;x
jzn_manuscript_hall_desc;A large, wooden hall with secured alcoves and benches, where a team of scribes and scholars copy and annotate religious manuscripts. The hall is a beacon of tradition and unity.;;;;;x
jzn_archive_chamber;Archive Chamber;;;;;x
jzn_archive_chamber_desc;A secure chamber, constructed with sturdy timber and stone, where precious scrolls and books are protected from the elements and rival clans. The archive preserves the clans history for generations.;;;;;x
jzn_scholars_study;Scholars Study;;;;;x
jzn_scholars_study_desc;A refined study, filled with desks, lamps, and scroll racks, where the clans finest scholars debate, interpret, and teach the Torah. Jewish learning flourishes, strengthening unity and wisdom.;;;;;x
jzn_library_hall;Library Hall;;;;;x
jzn_library_hall_desc;A grand, permanent structure housing a vast collection of Jewish religious and legal works, open to all clan members. The Library Hall cements the clans reputation as guardians of tradition and wisdom.;;;;;x
jzn_jewish_scriptorium;Jewish Scriptorium;;;;;x
jzn_jewish_scriptorium_desc;A magnificent scriptorium, built with fine stone and adorned with intricate designs, where generations of scribes work tirelessly to preserve and expand Jewish knowledge. It stands as the heart of learning and unity for all clans.;;;;;x
