#Code;English;French;German;Spanish;Russian;x
uur_ember_patch;Ember Patch;;;;;x
uur_ember_patch_desc;A small, sacred patch of ground marked with stones and smoldering embers, tended by the faithful to honor the fire spirits. Serves as a focal point for clan gatherings and ritual unity.;;;;;x
uur_torch_stand;Torch Stand;;;;;x
uur_torch_stand_desc;A set of sturdy wooden poles supporting torches, illuminating the night and drawing the clan together for worship and council.;;;;;x
uur_flame_pavilion;Flame Pavilion;;;;;x
uur_flame_pavilion_desc;A large, canvas-draped tent built around a central fire, where priests chant and lead the clan in communal rites and festivals.;;;;;x
uur_fire_room;Fire Room;;;;;x
uur_fire_room_desc;A semi-permanent wooden structure with a central hearth, enclosed to keep the sacred flame burning through the harshest weather, and a gathering place for clan elders.;;;;;x
uur_priests_hut;Priests Hut;;;;;x
uur_priests_hut_desc;A dedicated hut for the resident fire priest, filled with ritual implements and offerings, serving as a hub for spiritual leadership.;;;;;x
uur_sanctified_chamber;Sanctified Chamber;;;;;x
uur_sanctified_chamber_desc;A reinforced, sanctified space built from stone and timber, where sacred relics are kept and rituals of purification are held for the clan.;;;;;x
uur_holy_fire_hall;Holy Fire Hall;;;;;x
uur_holy_fire_hall_desc;A spacious, decorated hall of wood and stone, serving as the heart of religious life for the clan, where the sacred fire is never allowed to die.;;;;;x
uur_blessed_pavilion;Blessed Pavilion;;;;;x
uur_blessed_pavilion_desc;A grand tent complex adorned with ritual banners and sacred symbols, where major festivals and clan councils are presided over by the high priest.;;;;;x
uur_fire_sanctuary;Fire Sanctuary;;;;;x
uur_fire_sanctuary_desc;A fortified sanctuary of faith, its eternal flame visible for miles, drawing pilgrims and uniting the clans in reverence and awe.;;;;;x
uur_pagan_fire_shrine;Pagan Fire Shrine;;;;;x
uur_pagan_fire_shrine_desc;A majestic shrine of stone and gold, ringed by ever-burning pyres, the supreme symbol of clan unity, faith, and the sacred fires eternal guidance.;;;;;x
