#Code;English;French;German;Spanish;Russian;x
naa_wild_vine_patch;Wild Vine Patch;;;;;x
naa_wild_vine_patch_desc;A rough clearing where wild grapevines are encouraged to grow, tended by hand by nomads seeking a taste of civilization. A humble start, but it brings the first taste of unity and surplus to the clan.;;;;;x
naa_trellised_vineyard;Trellised Vineyard;;;;;x
naa_trellised_vineyard_desc;Nomads arrange primitive trellises from local wood, training grapevines off the ground and boosting productivity. The first steps toward a lasting viticulture tradition.;;;;;x
naa_harvest_hut;Harvest Hut;;;;;x
naa_harvest_hut_desc;Makeshift shelters of reed and hide for harvesters, where the clan gathers grapes and stores the first surplus. Fosters a sense of shared labor and bounty.;;;;;x
naa_wine_press_pavilion;Wine Press Pavilion;;;;;x
naa_wine_press_pavilion_desc;A tented structure houses crude wooden presses, where the harvest is turned into wine. The first communal feasts and trade begin to flourish around this innovation.;;;;;x
naa_barrel_room;Barrel Room;;;;;x
naa_barrel_room_desc;A semi-permanent timber structure dug into a hillside, lined with barrels for aging and storing wine. Trade value and clan pride rise as the wine matures and is sought after by travelers.;;;;;x
naa_walled_vineyard;Walled Vineyard;;;;;x
naa_walled_vineyard_desc;Stone walls encircle the vineyard, protecting vines from animals and thieves. Security brings prosperity, allowing for larger populations and a thriving seasonal market.;;;;;x
naa_vintners_hall;Vintners Hall;;;;;x
naa_vintners_hall_desc;A grand wooden hall becomes the seat of both wine production and clan gatherings. The halls influence reaches far, strengthening both economy and the unity of the people.;;;;;x
naa_wine_cellar;Wine Cellar;;;;;x
naa_wine_cellar_desc;A deep, stone-lined cellar for aging and storing vast quantities of wine. Its cool depths safeguard the clans treasures and enhance trade and prestige.;;;;;x
naa_merchants_pavilion;Merchants Pavilion;;;;;x
naa_merchants_pavilion_desc;A bustling pavilion welcomes traveling merchants and traders, turning the vineyard into a trade hub. The clans reputation and wealth soar with each passing caravan.;;;;;x
naa_south_slavic_grand_winery;South Slavic Grand Winery;;;;;x
naa_south_slavic_grand_winery_desc;An immense and prestigious winemaking complex, famed across realms. Its wines and festivities draw traders, envoys, and warriors alike, making the clan legendary among the steppe and beyond.;;;;;x
