#Code;English;French;German;Spanish;Russian;x
lew_clearing_patch_caforest;Clearing Patch;;;;;x
lew_clearing_patch_caforest_desc;A roughly cleared area in the dense Central African forest, serving as the first step to establishing a foothold for a nomadic camp.;;;;;x
lew_leaf_hut_caforest;Leaf Hut;;;;;x
lew_leaf_hut_caforest_desc;Simple huts built from woven leaves and branches, providing basic shelter and modest organization for the growing camp.;;;;;x
lew_wooden_shelter_caforest;Wooden Shelter;;;;;x
lew_wooden_shelter_caforest_desc;Solid wooden shelters are constructed, offering improved protection from the elements and supporting a larger nomadic population.;;;;;x
lew_rain_pavilion_caforest;Rain Pavilion;;;;;x
lew_rain_pavilion_caforest_desc;A large, semi-permanent structure with a raised platform and broad leaf roofing, protecting the camp from tropical downpours and improving logistics.;;;;;x
lew_guarded_camp_caforest;Guarded Camp;;;;;x
lew_guarded_camp_caforest_desc;The camp is fortified with watch platforms and patrols, providing protection from predators and rival clans.;;;;;x
lew_hunters_room_caforest;Hunters Room;;;;;x
lew_hunters_room_caforest_desc;A communal hall for hunters, used for storing game, planning expeditions, and honing martial skills unique to the forest environment.;;;;;x
lew_family_hall_caforest;Family Hall;;;;;x
lew_family_hall_caforest_desc;A sturdy, multi-roomed hall for the clans families, encouraging unity, healthy growth, and stability within the heart of the forest.;;;;;x
lew_community_pavilion_caforest;Community Pavilion;;;;;x
lew_community_pavilion_caforest_desc;A large gathering hall for tribal councils, celebrations, and rituals, fostering clan unity and coordination for great undertakings.;;;;;x
lew_chiefs_chamber_caforest;Chiefs Chamber;;;;;x
lew_chiefs_chamber_caforest_desc;A grand private chamber for the clan chief, signifying prestige, leadership, and a center of command for all tribal matters.;;;;;x
lew_central_african_forest_camp;Central African Forest Camp;;;;;x
lew_central_african_forest_camp_desc;The ultimate expression of nomadic mastery in the Central African forest: a massive, fortified camp with palisades, granaries, and halls, sustaining thousands and serving as the beating heart of a powerful forest clan.;;;;;x
