#Code;English;French;German;Spanish;Russian;x
tbn_jewish_synagogue_prayer_stand;Prayer Stand;;;;;x
tbn_jewish_synagogue_prayer_stand_desc;A simple wooden stand where prayer scrolls are read aloud. Serves as the first meeting point for a nomadic Jewish community.;;;;;x
tbn_jewish_synagogue_stone_marker;Stone Marker;;;;;x
tbn_jewish_synagogue_stone_marker_desc;A sturdy stone pillar inscribed with blessings, marking the communitys gathering place for worship and ritual.;;;;;x
tbn_jewish_synagogue_wooden_pavilion;Wooden Pavilion;;;;;x
tbn_jewish_synagogue_wooden_pavilion_desc;A roofed wooden structure providing shelter for prayer, study, and community decision-making.;;;;;x
tbn_jewish_synagogue_teaching_room;Teaching Room;;;;;x
tbn_jewish_synagogue_teaching_room_desc;A dedicated space for communal teaching and the sharing of sacred knowledge.;;;;;x
tbn_jewish_synagogue_torah_chamber;Torah Chamber;;;;;x
tbn_jewish_synagogue_torah_chamber_desc;A reinforced tent or wagon safeguarding Torah scrolls, symbolizing the growing permanence of the faith.;;;;;x
tbn_jewish_synagogue_sanctuary_hall;Sanctuary Hall;;;;;x
tbn_jewish_synagogue_sanctuary_hall_desc;A large, semi-permanent canvas hall where the entire clan gathers for major festivals and prayers, fostering unity.;;;;;x
tbn_jewish_synagogue_ritual_pavilion;Ritual Pavilion;;;;;x
tbn_jewish_synagogue_ritual_pavilion_desc;A richly decorated pavilion for life events, ceremonies, and hosting rabbis, strengthening the spiritual bonds of the clan.;;;;;x
tbn_jewish_synagogue_community_synagogue;Community Synagogue;;;;;x
tbn_jewish_synagogue_community_synagogue_desc;A permanent, sturdy tent or wooden building serving as the heart of Jewish community life, with space for worship, study, and governance.;;;;;x
tbn_jewish_synagogue_scholars_hall;Scholars Hall;;;;;x
tbn_jewish_synagogue_scholars_hall_desc;A center of learning and legal debate, attracting renowned scholars and teachers to the clan, invigorating Jewish tradition and unity.;;;;;x
tbn_jewish_synagogue_grand_synagogue;Grand Synagogue;;;;;x
tbn_jewish_synagogue_grand_synagogue_desc;A grand, imposing structure of stone and wood, visible for miles, serving as the religious and cultural beacon of all nomadic Jews in the region.;;;;;x
