#Code;English;French;German;Spanish;Russian;x
oha_wicker_idol_stand;Wicker Idol Stand;;;;;x
oha_wicker_idol_stand_desc;A humble arrangement of woven wooden idols, marking the first sacred space for West Germanic clans on the move. Simple, but inspiring unity and reverence among the tribe.;;;;;x
oha_offering_patch;Offering Patch;;;;;x
oha_offering_patch_desc;A cleared earth patch for offerings—grains, trinkets, and livestock—enhancing the spiritual cohesion of the clan and reinforcing bonds among kin.;;;;;x
oha_sacrifice_table;Sacrifice Table;;;;;x
oha_sacrifice_table_desc;A heavy, rune-carved table of stone or timber, used during festivals to offer up animals or symbolic gifts to the old gods, increasing tribal unity and spiritual authority.;;;;;x
oha_spirit_grove;Spirit Grove;;;;;x
oha_spirit_grove_desc;A protected copse of ancient trees where rituals are held, considered sacred ground for communion with ancestors and spirits. Deepens faith and increases community strength.;;;;;x
oha_priests_pavilion;Priests Pavilion;;;;;x
oha_priests_pavilion_desc;A sizable hide-and-wood structure for the clan priests, where they store sacred relics and interpret omens, giving direction and unity to the faithful.;;;;;x
oha_blessed_oak_hut;Blessed Oak Hut;;;;;x
oha_blessed_oak_hut_desc;A sturdy hut built from sacred oak timbers, housing the clans most revered totems and icons. The hut becomes a focal point for seasonal ceremonies, strengthening faith and leadership.;;;;;x
oha_sacred_fire_ring;Sacred Fire Ring;;;;;x
oha_sacred_fire_ring_desc;An encircled stone fire-pit, tended at all hours, whose flames are kept alive by chosen acolytes. The fire is believed to ward off evil and inspire unity in times of war or hardship.;;;;;x
oha_diviners_chamber;Diviners Chamber;;;;;x
oha_diviners_chamber_desc;A wooden lodge for the clans diviners, filled with runic stones, ritual vessels, and scrolls. Here, the fates of the horde are read, and spiritual guidance is dispensed to all.;;;;;x
oha_shrine_hall;Shrine Hall;;;;;x
oha_shrine_hall_desc;A grand timber hall, richly decorated with clan banners and ancestral effigies, where the entire tribe may gather for great rites, affirming unity and tradition in the face of adversity.;;;;;x
oha_sanctuary_of_the_spirits;Sanctuary of the Spirits;;;;;x
oha_sanctuary_of_the_spirits_desc;A magnificent circular sanctuary of stone and sacred wood, attended by the greatest priests and diviners. It stands as the spiritual heart of the tribe, binding all clans to a common cause and faith.;;;;;x
