#Code;English;French;German;Spanish;Russian;x
ct_marketplace_1;Market Stalls;;;;;x
ct_marketplace_1_desc;Makeshift wooden stalls and canvas awnings thrown up in a central clearing, drawing in local traders and peasants with simple wares and produce.;;;;;x
ct_marketplace_2;Covered Bazaar;;;;;x
ct_marketplace_2_desc;A bustling bazaar of timber and cloth, with basic weather protection, encouraging traveling merchants and commerce to thrive year-round.;;;;;x
ct_marketplace_3;Stone Market Hall;;;;;x
ct_marketplace_3_desc;A sturdy stone building at the heart of the district, providing safe storage, shelter, and permanent booths for traders and artisans.;;;;;x
ct_marketplace_6;Weighhouse;;;;;x
ct_marketplace_6_desc;A civic building where goods are officially weighed and measured to ensure fair trade and taxation, increasing trust and accountability.;;;;;x
kae_guild_market;Guild Market;;;;;x
kae_guild_market_desc;A protected, semi-private complex of shops and warehouses administered by powerful merchant guilds, hosting fairs and specialty trade.;;;;;x
ct_marketplace_4;Trade Plaza;;;;;x
ct_marketplace_4_desc;A paved open square ringed by merchant houses and shops, hosting regular markets and civic events, and bustling with visitors and commerce.;;;;;x
ct_marketplace_5;Merchant Row;;;;;x
ct_marketplace_5_desc;A thriving avenue lined with multi-story timber houses, workshops, and specialized shops, attracting wealthy guilds and foreign traders.;;;;;x
kae_counting_house;Counting House;;;;;x
kae_counting_house_desc;A fortified building staffed by clerks and scribes, handling contracts, loans, and the citys accounts, securing wealth and enabling greater financial administration.;;;;;x
kae_exchange_square;Exchange Square;;;;;x
kae_exchange_square_desc;A grand open court surrounded by banking houses and merchant palaces, where contracts and letters of credit are exchanged and fortunes are made.;;;;;x
kae_grand_mercantile_quarter;Grand Mercantile Quarter;;;;;x
kae_grand_mercantile_quarter_desc;An entire city district dominated by vast trade halls, permanent fairs, international exchanges, and luxurious guildhouses, the economic heart of the city and region.;;;;;x
